2018-09-20 18:16:38.839 INFO  [fileinstall-/Users/paulo/Documents/eclipse-workspace/bundles/liferay-portal/osgi/war][BaseDeployer:877] Deploying classic-theme.war
2018-09-20 18:16:40.974 INFO  [fileinstall-/Users/paulo/Documents/eclipse-workspace/bundles/liferay-portal/osgi/war][BaseAutoDeployListener:50] Themes for /Users/paulo/Documents/eclipse-workspace/bundles/liferay-portal/tomcat-9.0.10/temp/20180920181638715IDGFCULB/classic-theme.war copied successfully
2018-09-20 18:16:43.410 INFO  [fileinstall-/Users/paulo/Documents/eclipse-workspace/bundles/liferay-portal/osgi/war][BundleStartStopLogger:39] STARTED classic-theme_2.0.18 [845]
2018-09-20 18:16:44.725 INFO  [main][VerifyProcess:66] Verifying com.liferay.portal.scheduler.internal.verify.SchedulerHelperPropertiesVerifyProcess
2018-09-20 18:16:44.726 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.scheduler.internal.verify.SchedulerHelperPropertiesVerifyProcess#upgradeConfiguration
2018-09-20 18:16:44.727 INFO  [main][LoggingTimer:43] Completed com.liferay.portal.scheduler.internal.verify.SchedulerHelperPropertiesVerifyProcess#upgradeConfiguration in 1 ms
2018-09-20 18:16:44.727 INFO  [main][VerifyProcess:81] Completed verification process com.liferay.portal.scheduler.internal.verify.SchedulerHelperPropertiesVerifyProcess in 2ms
2018-09-20 18:16:44.738 INFO  [main][VerifyProcess:66] Verifying com.liferay.organizations.service.internal.verify.OrganizationServiceVerifyProcess
2018-09-20 18:16:44.740 INFO  [pool-8-thread-1][LoggingTimer:83] Starting com.liferay.organizations.service.internal.verify.OrganizationServiceVerifyProcess#updateOrganizationAssets
2018-09-20 18:16:44.740 INFO  [pool-8-thread-2][LoggingTimer:83] Starting com.liferay.organizations.service.internal.verify.OrganizationServiceVerifyProcess#updateOrganizationAssetEntries
2018-09-20 18:16:44.744 INFO  [pool-8-thread-2][LoggingTimer:43] Completed com.liferay.organizations.service.internal.verify.OrganizationServiceVerifyProcess#updateOrganizationAssetEntries in 4 ms
2018-09-20 18:16:44.749 INFO  [pool-8-thread-1][LoggingTimer:43] Completed com.liferay.organizations.service.internal.verify.OrganizationServiceVerifyProcess#updateOrganizationAssets in 9 ms
2018-09-20 18:16:44.750 INFO  [main][VerifyProcess:81] Completed verification process com.liferay.organizations.service.internal.verify.OrganizationServiceVerifyProcess in 12ms
2018-09-20 18:16:44.757 INFO  [main][VerifyProcess:66] Verifying com.liferay.portal.security.sso.token.internal.verify.ShibbolethCompanySettingsVerifyProcess
2018-09-20 18:16:44.758 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.verify.BaseCompanySettingsVerifyProcess#verifyProperties
2018-09-20 18:16:44.766 INFO  [main][BaseCompanySettingsVerifyProcess:128] Removing preference keys [shibboleth.auth.enabled, shibboleth.import.from.ldap, shibboleth.logout.url, shibboleth.user.header] for company 20099
2018-09-20 18:16:44.774 INFO  [main][LoggingTimer:43] Completed com.liferay.portal.verify.BaseCompanySettingsVerifyProcess#verifyProperties in 16 ms
2018-09-20 18:16:44.774 INFO  [main][VerifyProcess:81] Completed verification process com.liferay.portal.security.sso.token.internal.verify.ShibbolethCompanySettingsVerifyProcess in 17ms
2018-09-20 18:16:44.788 INFO  [main][VerifyProcess:66] Verifying com.liferay.portal.security.sso.token.internal.verify.SiteMinderCompanySettingsVerifyProcess
2018-09-20 18:16:44.790 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.verify.BaseCompanySettingsVerifyProcess#verifyProperties
2018-09-20 18:16:44.792 INFO  [main][BaseCompanySettingsVerifyProcess:128] Removing preference keys [siteminder.auth.enabled, siteminder.import.from.ldap, siteminder.user.header] for company 20099
2018-09-20 18:16:44.801 INFO  [main][LoggingTimer:43] Completed com.liferay.portal.verify.BaseCompanySettingsVerifyProcess#verifyProperties in 11 ms
2018-09-20 18:16:44.803 INFO  [main][VerifyProcess:81] Completed verification process com.liferay.portal.security.sso.token.internal.verify.SiteMinderCompanySettingsVerifyProcess in 15ms
2018-09-20 18:16:44.811 INFO  [main][VerifyProcess:66] Verifying com.liferay.portal.security.sso.facebook.connect.internal.verify.FacebookConnectCompanySettingsVerifyProcess
2018-09-20 18:16:44.812 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.verify.BaseCompanySettingsVerifyProcess#verifyProperties
2018-09-20 18:16:44.819 INFO  [main][BaseCompanySettingsVerifyProcess:128] Removing preference keys [facebook.connect.app.secret, facebook.connect.graph.url, facebook.connect.oauth.auth.url, facebook.connect.app.id, facebook.connect.oauth.redirect.url, facebook.connect.oauth.token.url, facebook.auth.enabled, facebook.connect.verified.account.required] for company 20099
2018-09-20 18:16:44.828 INFO  [main][LoggingTimer:43] Completed com.liferay.portal.verify.BaseCompanySettingsVerifyProcess#verifyProperties in 16 ms
2018-09-20 18:16:44.830 INFO  [main][VerifyProcess:81] Completed verification process com.liferay.portal.security.sso.facebook.connect.internal.verify.FacebookConnectCompanySettingsVerifyProcess in 19ms
2018-09-20 18:16:44.850 INFO  [main][VerifyProcess:66] Verifying com.liferay.portal.security.sso.cas.internal.verify.CASCompanySettingsVerifyProcess
2018-09-20 18:16:44.852 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.verify.BaseCompanySettingsVerifyProcess#verifyProperties
2018-09-20 18:16:44.854 INFO  [main][BaseCompanySettingsVerifyProcess:128] Removing preference keys [cas.logout.url, cas.no.such.user.redirect.url, cas.server.name, cas.server.url, cas.service.url, cas.import.from.ldap, cas,logout.on.session.expiration, cas.auth.enabled, cas.login.url] for company 20099
2018-09-20 18:16:44.860 INFO  [main][LoggingTimer:43] Completed com.liferay.portal.verify.BaseCompanySettingsVerifyProcess#verifyProperties in 8 ms
2018-09-20 18:16:44.861 INFO  [main][VerifyProcess:81] Completed verification process com.liferay.portal.security.sso.cas.internal.verify.CASCompanySettingsVerifyProcess in 11ms
2018-09-20 18:16:44.879 INFO  [main][VerifyProcess:66] Verifying com.liferay.portal.security.sso.openid.internal.verify.OpenIdCompanySettingsVerifyProcess
2018-09-20 18:16:44.880 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.verify.BaseCompanySettingsVerifyProcess#verifyProperties
2018-09-20 18:16:44.883 INFO  [main][BaseCompanySettingsVerifyProcess:128] Removing preference keys [openid.auth.enabled] for company 20099
2018-09-20 18:16:44.889 INFO  [main][LoggingTimer:43] Completed com.liferay.portal.verify.BaseCompanySettingsVerifyProcess#verifyProperties in 9 ms
2018-09-20 18:16:44.891 INFO  [main][VerifyProcess:81] Completed verification process com.liferay.portal.security.sso.openid.internal.verify.OpenIdCompanySettingsVerifyProcess in 12ms
2018-09-20 18:16:44.906 INFO  [main][VerifyProcess:66] Verifying com.liferay.portal.security.sso.google.internal.verify.GoogleLoginCompanySettingsVerifyProcess
2018-09-20 18:16:44.907 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.verify.BaseCompanySettingsVerifyProcess#verifyProperties
2018-09-20 18:16:44.911 INFO  [main][BaseCompanySettingsVerifyProcess:128] Removing preference keys [google-auth-enabled, google-client-id, google-client-secret] for company 20099
2018-09-20 18:16:44.916 INFO  [main][LoggingTimer:43] Completed com.liferay.portal.verify.BaseCompanySettingsVerifyProcess#verifyProperties in 9 ms
2018-09-20 18:16:44.917 INFO  [main][VerifyProcess:81] Completed verification process com.liferay.portal.security.sso.google.internal.verify.GoogleLoginCompanySettingsVerifyProcess in 11ms
2018-09-20 18:16:44.939 INFO  [main][VerifyProcess:66] Verifying com.liferay.portal.security.sso.opensso.internal.verify.OpenSSOCompanySettingsVerifyProcess
2018-09-20 18:16:44.941 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.verify.BaseCompanySettingsVerifyProcess#verifyProperties
2018-09-20 18:16:44.945 INFO  [main][BaseCompanySettingsVerifyProcess:128] Removing preference keys [open.sso.last.name.attr, open.sso.auth.enabled, open.sso.ldap.import.enabled, open.sso.email.address.attr, open.sso.service.url, open.sso.first.name.attr, open.sso.login.url, open.sso.logout.url, open.sso.screen.name.attr, open.sso.logout.on.session.expiration] for company 20099
2018-09-20 18:16:44.953 INFO  [main][LoggingTimer:43] Completed com.liferay.portal.verify.BaseCompanySettingsVerifyProcess#verifyProperties in 11 ms
2018-09-20 18:16:44.953 INFO  [main][VerifyProcess:81] Completed verification process com.liferay.portal.security.sso.opensso.internal.verify.OpenSSOCompanySettingsVerifyProcess in 14ms
2018-09-20 18:16:44.965 INFO  [main][VerifyProcess:66] Verifying com.liferay.portal.security.sso.ntlm.internal.verify.NtlmCompanySettingsVerifyProcess
2018-09-20 18:16:44.967 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.verify.BaseCompanySettingsVerifyProcess#verifyProperties
